Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Killian Tillie,22.29,College,,F,24.0,24.0,24.6,5.1,9.6,0.535,1.5,3.8,0.4,3.6,5.8,0.621,0.613,1.9,2.6,0.726,1.2,3.8,5.0,1.9,1.0,0.8,1.0,2.5,13.6,27.5,0.63,0.391,0.27,299.0,5.8,16.6,11.5,13.1,2.2,3.4,8.5,22.9,2.6,1.3,3.9,0.261,8.3,3.7,12.0,0.613,0.391,0.27,0.36,0.57,1.88,0.176,0.088,130.8,92.5
Tres Tinkle,24.04,College,,F,31.0,31.0,34.5,6.1,13.8,0.44,1.6,4.8,0.345,4.4,9.0,0.491,0.5,4.7,5.8,0.81,1.3,5.5,6.8,3.2,1.7,0.5,2.3,2.4,18.5,25.3,0.559,0.347,0.419,553.0,4.8,18.9,12.0,20.7,3.0,1.7,12.0,28.9,3.4,1.6,5.0,0.185,6.2,1.5,7.7,0.5,0.347,0.419,0.362,0.72,1.4,0.127,0.06,112.2,99.2
Kaleb Wesson,20.89,College,,F,31.0,31.0,29.5,4.4,9.9,0.444,1.5,3.4,0.425,2.9,6.5,0.455,0.518,3.8,5.2,0.731,2.4,6.9,9.3,1.9,0.7,1.0,2.5,3.1,14.0,23.3,0.568,0.346,0.523,435.0,9.9,26.1,18.4,14.3,1.5,4.0,16.8,26.1,2.6,2.2,4.7,0.207,5.4,3.6,9.0,0.518,0.346,0.523,0.355,0.55,0.78,0.114,0.096,111.2,89.8
Kahlil Whitney,19.44,College,,F,18.0,8.0,12.8,1.3,3.4,0.371,0.2,0.9,0.25,1.1,2.6,0.413,0.403,0.6,1.3,0.435,0.8,0.9,1.7,0.4,0.3,0.2,0.8,1.3,3.3,6.6,0.411,0.258,0.371,63.0,7.8,7.9,7.8,6.5,1.3,1.4,17.1,19.5,-0.1,0.3,0.2,0.031,-2.7,0.7,-2.0,0.403,0.258,0.371,0.289,0.33,0.53,-0.017,0.052,84.3,101.8
Austin Wiley,21.44,College,,C,31.0,31.0,21.4,3.5,6.1,0.574,0.0,0.0,0.0,3.5,6.0,0.578,0.574,3.7,5.5,0.671,3.6,5.7,9.3,0.5,0.5,1.6,1.7,2.7,10.6,30.2,0.614,0.005,0.904,336.0,17.8,29.1,23.4,5.4,1.4,8.2,16.2,23.1,2.5,1.5,4.0,0.242,5.2,2.8,8.0,0.574,0.005,0.904,0.313,0.23,0.33,0.151,0.09,121.2,90.7
LaMelo Ball,18.82,International,,G,13.0,,31.3,6.3,16.2,0.389,1.8,6.6,0.279,,,,,2.7,3.8,0.7,,,7.8,6.8,1.5,0.2,2.5,2.6,17.2,18.48,0.475,,,,,,,,,,,27.24,,,,,,,,0.445,0.408,0.237,0.353,1.33,2.67,,,108.0,113.8
Killian Hayes,18.9,International,,G,33.0,,24.8,4.2,8.6,0.482,0.9,3.1,0.294,,,,,2.4,2.7,0.876,,,2.8,5.4,1.5,0.3,3.2,3.0,11.6,16.54,0.585,,,,,,,,,,,24.34,,,,,,,,0.535,0.359,0.313,0.363,1.59,1.68,,,107.6,109.7
Deni Avdija,19.46,International,,F,59.0,,21.7,3.4,6.8,0.505,1.0,3.1,0.333,,,,,1.1,1.9,0.588,,,4.7,2.0,0.7,0.7,1.6,2.1,9.0,15.21,0.586,,,,,,,,,,,19.67,,,,,,,,0.581,0.458,0.285,0.332,0.75,1.27,,,109.1,99.6
Aleksej Pokuševski,18.48,International,,F,12.0,,21.3,3.5,8.8,0.4,1.4,4.4,0.321,,,,,1.5,1.9,0.783,,,7.3,2.8,1.2,1.7,1.8,1.4,9.9,21.76,0.513,,,,,,,,,,,26.13,,,,,,,,0.481,0.505,0.219,0.37,0.97,1.62,,,104.0,84.5
Leandro Bolmaro,19.77,International,,G,24.0,,17.2,3.0,7.0,0.423,0.9,3.1,0.293,,,,,1.1,1.6,0.711,,,1.6,2.5,1.2,0.1,1.8,2.0,8.0,13.95,0.513,,,,,,,,,,,25.26,,,,,,,,0.488,0.446,0.226,0.351,0.99,1.45,,,101.8,98.9
RJ Hampton,19.36,International,,G,17.0,,21.3,3.5,8.5,0.417,0.9,3.0,0.294,,,,,1.6,2.2,0.737,,,3.9,2.5,1.2,0.4,1.5,2.1,9.6,15.27,0.503,,,,,,,,,,,22.42,,,,,,,,0.469,0.354,0.264,0.347,0.8,1.68,,,104.8,111.3
Theo Maledon,19.02,International,,G,46.0,,17.3,2.4,5.7,0.421,0.8,2.5,0.333,,,,,1.7,2.1,0.776,,,1.9,2.7,0.5,0.1,1.6,2.7,7.3,12.48,0.545,,,,,,,,,,,22.99,,,,,,,,0.496,0.448,0.375,0.358,1.19,1.67,,,105.8,112.9
Vít Krejčí,20.0,International,,G,37.0,,9.2,1.2,2.2,0.554,0.3,0.9,0.343,,,,,0.4,0.6,0.542,,,1.2,0.7,0.3,0.1,0.6,1.5,3.2,11.56,0.62,,,,,,,,,,,15.61,,,,,,,,0.627,0.422,0.289,0.318,0.77,1.19,,,112.2,109.2
Marko Simonović,20.68,International,,F,24.0,,29.6,5.9,11.5,0.509,0.8,2.5,0.311,,,,,4.3,5.3,0.803,,,8.0,1.2,1.1,1.2,2.3,3.8,16.8,20.96,0.597,,,,,,,,,,,24.18,,,,,,,,0.543,0.22,0.458,0.347,0.35,0.54,,,117.4,109.2
Yam Madar,19.49,International,,G,32.0,,24.4,3.6,8.1,0.444,0.7,2.7,0.267,,,,,2.2,2.7,0.812,,,2.4,3.4,1.0,0.2,2.1,2.1,10.1,12.67,0.538,,,,,,,,,,,20.52,,,,,,,,0.488,0.332,0.328,0.349,1.12,1.64,,,102.8,106.8
Paul Eboua,20.34,International,,F,18.0,,21.6,2.5,5.4,0.459,0.4,1.7,0.258,,,,,1.9,3.1,0.625,,,5.3,0.8,0.7,0.7,1.2,2.9,7.4,14.79,0.534,,,,,,,,,,,16.71,,,,,,,,0.5,0.316,0.571,0.317,0.4,0.68,,,109.9,117.6
Abdoulaye N'Doye,22.28,International,,G,26.0,,30.8,3.7,7.0,0.522,0.6,1.3,0.429,,,,,2.3,3.1,0.75,,,4.3,3.9,1.2,0.3,2.1,2.9,10.2,14.27,0.602,,,,,,,,,,,16.38,,,,,,,,0.563,0.192,0.44,0.341,1.27,1.89,,,115.5,109.0
Borisa Simanic,22.25,International,,F,39.0,,13.5,1.8,3.4,0.53,0.8,1.8,0.478,,,,,0.3,0.4,0.765,,,1.6,0.8,0.4,0.5,0.7,1.7,4.8,13.82,0.664,,,,,,,,,,,15.26,,,,,,,,0.655,0.523,0.129,0.369,0.64,1.15,,,120.5,109.1
