Name,classification,Age,OverallScore,Archetype,Comp1,Comp2,Comp3,Comp1_dist,Comp2_dist,Comp3_dist
Jon Teske,College,23.13,4.88,5,Jonathan Isaac,Myles Turner,Brook Lopez,2.9832614103817594,3.312733320825921,3.499200436810372
Killian Tillie,College,22.29,6.05,5,Brandon Clarke,Jae Crowder,Christian Wood,3.8063301297581926,4.003322738070391,4.028932022641655
Tres Tinkle,College,24.04,6.04,2,Paul George,Kawhi Leonard,Jayson Tatum,1.933856397761484,2.2859247006536187,2.3861189822205437
Kaleb Wesson,College,20.89,6.27,5,Joel Embiid,Nikola Vučević,Steven Adams,3.3418111506250026,3.6210672983321746,3.6937679986895695
Kahlil Whitney,College,19.44,0.41,6,Jerome Robinson,Amir Coffey,Deonte Burton,1.899015738039684,2.1615655773328135,2.2877789006002582
Austin Wiley,College,21.44,5.04,5,Jarrett Allen,Ivica Zubac,Montrezl Harrell,3.936698480428975,4.117707748940068,4.468161419033691
LaMelo Ball,International,18.82,6.09,2,Jimmy Butler,Paul George,Kyle Lowry,2.911428020547849,3.2507241709092316,3.459804511332469
Killian Hayes,International,18.9,6.37,2,Paul George,Kyle Lowry,Chris Paul,3.040623683685411,3.290347548556296,3.3004136274188696
Deni Avdija,International,19.46,4.87,8,Patrick Beverley,Nemanja Bjelica,Josh Jackson,3.0668702055499675,3.1705320408192863,3.189145691732624
Aleksej Pokuševski,International,18.48,5.83,2,Jayson Tatum,Al Horford,James Johnson,3.5836129406211037,3.778318429950134,3.8337433477491594
Leandro Bolmaro,International,19.77,4.5,8,Josh Jackson,Donte DiVincenzo,Bogdan Bogdanović,3.2250992115204893,3.352092271686328,3.395433167140548
RJ Hampton,International,19.36,4.81,8,Donte DiVincenzo,Delon Wright,Josh Jackson,2.8505294587337833,3.029762281725497,3.0484317877396534
Theo Maledon,International,19.02,4.51,8,Terence Davis,Josh Jackson,Jordan Clarkson,3.039737429614121,3.119053326223858,3.301028721497149
Vít Krejčí,International,20.0,3.67,1,Paul Watson,John Konchar,Javonte Green,2.8582061961823326,3.08816262940736,3.4684272627329964
Marko Simonović,International,20.68,6.22,2,Jayson Tatum,Shai Gilgeous-Alexander,Pascal Siakam,2.7369939411477104,3.1248602697376224,3.1732533554947873
Yam Madar,International,19.49,5.03,4,Delon Wright,Donte DiVincenzo,Bogdan Bogdanović,3.191883379410135,3.1969749250109545,3.2101904546712463
Paul Eboua,International,20.34,4.19,8,Kyle Anderson,Patrick Beverley,Rondae Hollis-Jefferson,3.0372002103816675,3.22457604698154,3.2548284396998377
Abdoulaye N'Doye,International,22.28,5.69,8,Patrick Beverley,Cameron Payne,Delon Wright,2.8445616355039203,2.857817821222593,2.9422095483390147
Borisa Simanic,International,22.25,4.57,1,Paul Watson,Shaquille Harrison,George Hill,2.375597187522791,3.1685520324399072,3.223094578416535
