Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Ochai Agbaji,22.16,College,,G,39.0,39.0,35.1,6.6,13.9,0.475,2.6,6.5,0.407,4.0,7.4,0.534,0.57,2.9,3.9,0.743,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.7,18.8,20.8,0.595,0.466,0.28,631.0,2.8,12.9,8.2,8.7,1.5,1.7,11.5,25.3,4.0,2.2,6.2,0.181,6.9,2.2,9.0,0.57,0.466,0.28,0.371,0.34,0.78,0.117,0.064,116.3,99.0
Mark Williams,20.51,College,,C,39.0,39.0,23.6,4.9,6.8,0.721,0.0,0.0,0.0,4.9,6.8,0.723,0.721,1.4,2.0,0.727,2.6,4.8,7.4,0.9,0.5,2.8,0.9,2.1,11.2,33.1,0.726,0.004,0.291,407.0,13.2,21.2,17.5,7.1,1.2,11.4,10.7,18.6,4.3,2.0,6.3,0.271,7.8,4.8,12.5,0.721,0.004,0.291,0.321,0.38,0.97,0.187,0.087,142.0,93.2
AJ Griffin,18.82,College,,F,39.0,25.0,24.0,3.7,7.6,0.493,1.8,4.1,0.447,1.9,3.5,0.547,0.613,1.1,1.4,0.792,0.8,3.2,3.9,1.0,0.5,0.6,0.6,1.1,10.4,20.7,0.63,0.537,0.179,349.0,3.9,13.7,9.1,7.0,1.3,2.3,7.2,18.8,3.0,1.2,4.2,0.18,6.6,1.5,8.1,0.613,0.537,0.179,0.379,0.37,1.52,0.128,0.051,128.9,102.3
Tari Eason,21.11,College,,F,33.0,4.0,24.4,5.8,11.1,0.521,0.8,2.4,0.359,4.9,8.7,0.564,0.559,4.6,5.7,0.803,2.3,4.3,6.6,1.0,1.9,1.1,2.2,2.8,16.9,33.4,0.615,0.214,0.515,506.0,10.5,19.8,15.2,10.1,4.5,6.2,13.8,31.8,3.4,2.5,5.9,0.294,9.0,5.7,14.7,0.559,0.214,0.515,0.354,0.32,0.45,0.169,0.124,119.2,83.2
Dalen Terry,19.94,College,,G,37.0,37.0,27.8,3.1,6.2,0.502,0.8,2.1,0.364,2.4,4.1,0.572,0.563,1.1,1.4,0.736,1.2,3.7,4.8,3.9,1.2,0.3,1.4,2.3,8.0,16.9,0.584,0.336,0.231,343.0,5.0,12.8,9.3,22.1,2.5,1.1,16.7,14.1,2.4,2.1,4.5,0.176,3.5,4.5,8.0,0.563,0.336,0.231,0.341,1.57,2.84,0.093,0.082,122.8,94.6
Jake LaRavia,20.62,College,,G,33.0,33.0,34.2,5.0,9.0,0.559,0.8,2.2,0.384,4.2,6.8,0.616,0.606,3.7,4.8,0.777,2.1,4.5,6.6,3.7,1.7,1.0,2.7,2.8,14.6,22.9,0.649,0.246,0.529,516.0,7.5,14.1,11.1,20.0,2.7,3.0,19.3,20.4,3.7,2.1,5.8,0.206,4.7,3.7,8.5,0.606,0.246,0.529,0.346,0.98,1.37,0.131,0.074,121.7,95.9
Malaki Branham,19.1,College,,G,32.0,31.0,29.6,5.0,10.0,0.498,1.2,2.8,0.416,3.8,7.3,0.53,0.556,2.5,3.0,0.833,0.8,2.8,3.6,2.0,0.7,0.3,1.7,1.8,13.7,20.4,0.596,0.277,0.299,411.0,3.5,10.5,7.3,14.5,1.5,1.0,12.8,24.1,2.9,0.8,3.6,0.154,4.8,0.9,5.7,0.556,0.277,0.299,0.363,0.6,1.19,0.122,0.034,117.3,107.1
Christian Braun,21.17,College,,G,40.0,39.0,34.4,5.2,10.5,0.495,1.3,3.3,0.386,3.9,7.2,0.545,0.556,2.5,3.4,0.733,1.4,5.1,6.5,2.8,1.0,0.8,2.0,1.8,14.1,19.6,0.585,0.316,0.323,551.0,4.9,16.0,10.8,14.5,1.6,2.5,14.4,20.4,3.5,2.5,6.0,0.174,5.6,3.3,9.0,0.556,0.316,0.323,0.347,0.71,1.37,0.102,0.073,116.5,96.9
Walker Kessler,20.9,College,,F,34.0,34.0,25.6,4.8,7.9,0.608,0.3,1.5,0.2,4.5,6.4,0.702,0.627,1.6,2.6,0.596,2.6,5.4,8.1,0.9,1.1,4.6,1.1,2.6,11.4,31.4,0.627,0.187,0.332,360.0,10.9,22.2,16.6,6.9,2.4,19.1,10.7,19.0,2.8,2.7,5.5,0.254,6.2,8.0,14.1,0.627,0.187,0.332,0.305,0.36,0.81,0.129,0.124,126.0,83.0
David Roddy,21.23,College,,G,31.0,31.0,32.9,7.2,12.5,0.571,1.5,3.4,0.438,5.7,9.2,0.62,0.63,3.4,4.9,0.691,1.8,5.7,7.5,2.9,1.2,1.1,2.3,2.3,19.2,30.3,0.645,0.27,0.391,574.0,7.4,21.0,14.5,19.8,2.1,4.1,13.5,28.8,4.4,1.8,6.3,0.246,8.7,2.3,11.1,0.63,0.27,0.391,0.348,0.69,1.24,0.172,0.071,121.9,97.0
Blake Wesley,19.26,College,,G,35.0,28.0,29.3,5.1,12.6,0.404,1.5,5.1,0.303,3.5,7.5,0.471,0.465,2.7,4.1,0.657,0.7,3.0,3.7,2.4,1.3,0.1,2.2,1.9,14.4,16.9,0.495,0.404,0.324,491.0,3.0,11.6,7.5,17.4,2.6,0.2,13.1,31.3,1.1,1.4,2.5,0.098,0.5,0.8,1.3,0.465,0.404,0.324,0.344,0.56,1.09,0.043,0.055,97.2,101.1
