Name,Age,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORtg,DRtg,Unnamed: 19,WS/48,FGM-FGA,3PM-3PA,FTM-FTA,REB,TO,True Shooting %TS%,Effective FG%EFG%,3PA Rate3PAR,FTA RateFTAR,Proj NBA 3P%NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG
Julian Strawther,21.17,2022-23,G,37.0,37.0,31.2,5.1,10.9,0.469,2.2,5.3,0.408,3.0,5.6,0.526,0.568,2.8,3.6,0.776,0.8,5.5,6.2,1.3,0.8,0.4,1.5,2.1,15.2,19.7,0.602,0.484,0.331,500.0,3.0,19.7,11.7,6.7,1.5,1.5,10.7,22.2,3.2,1.6,4.8,0.165,4.9,0.9,5.8,,,,,,,,,,,,,,,,,,,,
Kobe Brown,23.46,2022-23,F,34.0,34.0,29.6,5.7,10.3,0.553,1.5,3.3,0.455,4.2,7.0,0.598,0.625,2.9,3.7,0.792,1.8,4.6,6.4,2.5,1.5,0.4,1.6,2.5,15.8,27.0,0.655,0.319,0.356,517.0,7.3,18.3,12.8,16.9,2.8,1.9,12.0,23.6,4.1,1.2,5.3,0.213,8.0,1.0,8.9,,,,,,,,,,,,,,,,,,,,
Jalen Pickett,23.66,2022-23,G,37.0,37.0,36.6,7.0,13.8,0.508,1.2,3.2,0.381,5.8,10.6,0.546,0.552,2.4,3.2,0.763,1.2,6.2,7.4,6.6,0.9,0.5,2.3,2.1,17.7,26.6,0.577,0.23,0.23,755.0,4.0,19.6,12.2,39.2,1.6,1.6,12.9,27.3,5.5,1.8,7.3,0.215,8.0,2.9,10.9,,,,,,,,,,,,,,,,,,,,
Colby Jones,21.06,2022-23,G,36.0,36.0,34.0,5.8,11.3,0.509,1.3,3.3,0.378,4.5,8.0,0.563,0.564,2.3,3.4,0.653,1.3,4.5,5.7,4.4,1.3,0.6,2.3,2.1,15.0,19.8,0.58,0.292,0.305,547.0,4.4,14.4,9.7,22.4,2.1,1.6,15.3,21.9,3.0,1.6,4.6,0.15,4.8,2.5,7.3,,,,,,,,,,,,,,,,,,,,
Julian Phillips,19.62,2022-23,F,32.0,25.0,24.1,2.5,6.0,0.411,0.3,1.4,0.239,2.1,4.6,0.466,0.44,3.0,3.7,0.822,1.8,2.9,4.7,1.4,0.6,0.5,1.3,1.8,8.3,16.6,0.536,0.24,0.615,272.0,8.4,13.9,11.1,11.4,1.6,2.9,14.2,19.1,1.6,1.9,3.5,0.183,2.0,3.8,5.7,,,,,,,,,,,,,,,,,,,,
Andre Jackson Jr.,21.6,2022-23,G,36.0,31.0,29.1,2.6,5.9,0.432,0.7,2.5,0.281,1.9,3.4,0.54,0.491,0.9,1.3,0.646,1.9,4.3,6.2,4.7,1.1,0.5,2.0,2.8,6.7,15.0,0.509,0.418,0.225,328.0,7.6,16.7,12.3,26.6,2.2,1.8,23.1,14.4,1.8,2.3,4.0,0.154,2.8,5.1,7.9,,,,,,,,,,,,,,,,,,,,
Hunter Tyson,23.02,2022-23,F,34.0,34.0,34.7,5.1,10.6,0.479,2.4,6.0,0.405,2.6,4.5,0.578,0.595,2.7,3.3,0.838,1.3,8.3,9.6,1.5,0.9,0.1,1.0,1.8,15.3,22.2,0.631,0.571,0.309,476.0,4.7,26.2,16.2,8.3,1.6,0.4,7.8,20.1,3.8,2.3,6.0,0.205,6.1,2.0,8.1,,,,,,,,,,,,,,,,,,,,
Jordan Walsh,19.3,2022-23,F,36.0,22.0,24.4,2.6,6.0,0.433,0.6,2.0,0.278,2.1,4.0,0.51,0.479,1.3,1.8,0.712,1.2,2.7,3.9,0.9,1.1,0.5,1.0,2.9,7.1,12.8,0.513,0.332,0.304,253.0,5.8,12.9,9.4,6.7,2.6,2.0,13.0,16.2,1.0,1.6,2.5,0.115,0.5,3.3,3.8,,,,,,,,,,,,,,,,,,,,
Mouhamed Gueye,20.61,2022-23,F,33.0,33.0,32.1,5.6,11.5,0.488,0.3,1.2,0.275,5.3,10.3,0.513,0.503,2.7,4.0,0.674,3.4,5.0,8.4,1.9,0.8,0.8,2.3,2.8,14.3,21.5,0.532,0.105,0.346,483.0,12.2,19.3,15.7,14.0,1.6,2.8,14.8,26.0,2.3,1.7,4.0,0.152,3.6,1.6,5.1,,,,,,,,,,,,,,,,,,,,
Maxwell Lewis,20.9,2022-23,F,31.0,31.0,31.4,6.1,13.0,0.468,1.5,4.3,0.348,4.6,8.7,0.526,0.525,3.5,4.4,0.787,1.2,4.5,5.7,2.8,0.8,0.8,3.3,2.7,17.1,18.7,0.567,0.328,0.338,511.0,4.4,15.4,10.1,17.2,1.4,2.5,17.9,28.2,1.7,0.8,2.4,0.1,1.8,-0.1,1.8,,,,,,,,,,,,,,,,,,,,
