Name,classification,Age,pg::PTS,pg::AST,pg::TRB,pg::STL,pg::BLK,pg::TOV,pg::FG%,pg::3P%,pg::FT%,adv::PER,adv::TS%,adv::OBPM,adv::DBPM,adv::BPM,adv::OWS,adv::DWS,adv::WS/40,OverallScore,Upside01,UpsideScore,Comp1,Comp2,Comp3,pg01,adv01,age01,UpdatedOverall01,UpdatedOverall
Corey Kispert,College,22.3,0.7441860465116279,0.18181818181818188,0.3773584905660377,0.35294117647058826,0.12121212121212123,0.19444444444444442,0.4813664596273294,0.44000000000000006,0.8838862559241707,0.6222222222222221,0.9521739130434783,0.8028169014084506,0.36363636363636365,0.8059701492537313,0.8548387096774193,0.576923076923077,0.8744939271255061,7.2,0.0,0.0,Bogdan Bogdanović,Tobias Harris,Mikal Bridges,0.7013645906196417,0.8651759170349724,0.30922242314647386,0.6132212256326864,6.13
Trey Murphy III,College,21.0,0.4046511627906976,0.10389610389610393,0.22641509433962262,0.2941176470588236,0.12121212121212123,0.055555555555555525,0.4006211180124224,0.43300000000000005,1.0,0.4555555555555555,0.9347826086956521,0.5774647887323943,0.4155844155844156,0.6044776119402986,0.5161290322580645,0.2307692307692308,0.6234817813765183,5.33,0.0,0.0,Mikal Bridges,Gorgui Dieng,Jeremy Lamb,0.5129979198465534,0.6104310564184086,0.5443037974683547,0.46664451588839023,4.67
Tre Mann,College,20.37,0.6232558139534883,0.4025974025974027,0.43396226415094336,0.6470588235294117,0.03030303030303032,0.611111111111111,0.2639751552795032,0.4020000000000001,0.7725118483412322,0.462962962962963,0.5391304347826084,0.5140845070422535,0.36363636363636365,0.5000000000000001,0.46774193548387094,0.3461538461538462,0.5546558704453441,6.16,0.3435534596113935,3.44,Gordon Hayward,Paul George,LaMelo Ball,0.7849909839239101,0.5117950312883586,0.6582278481012658,0.5984059863149386,5.98
Kai Jones,College,20.42,0.2883720930232558,0.025974025974026038,0.3584905660377358,0.2941176470588236,0.27272727272727276,0.22222222222222218,0.639751552795031,0.38200000000000006,0.43601895734597146,0.44814814814814813,0.8304347826086956,0.4436619718309859,0.5584415584415584,0.5373134328358209,0.3709677419354839,0.3076923076923077,0.5991902834008098,5.0,0.0,0.0,Gorgui Dieng,Daniel Theis,Xavier Tillman Sr.,0.4734699392209743,0.565961760850561,0.6491862567811933,0.4438857422585919,4.44
Jalen Johnson,College,19.5,0.3999999999999999,0.23376623376623384,0.48113207547169806,0.5294117647058824,0.36363636363636365,0.5277777777777778,0.4627329192546585,0.44400000000000006,0.3009478672985782,0.637037037037037,0.5217391304347823,0.4647887323943662,0.6493506493506495,0.6119402985074628,0.20967741935483872,0.07692307692307696,0.51417004048583,5.74,0.3903198403123546,3.9,Jusuf Nurkić,Anthony Davis,DeMarcus Cousins,0.6812086194740676,0.5042931681667323,0.8155515370705245,0.5775791051732362,5.78
Keon Johnson,College,19.28,0.4046511627906976,0.27272727272727276,0.2358490566037736,0.4705882352941177,0.12121212121212123,0.5555555555555556,0.23291925465838514,0.271,0.46919431279620843,0.28518518518518526,0.27826086956521734,0.23239436619718304,0.5064935064935064,0.28358208955223885,0.2258064516129032,0.4230769230769231,0.3603238866396761,3.97,0.0,0.0,Talen Horton-Tucker,De'Anthony Melton,Nickeil Alexander-Walker,0.4698510518928322,0.3163797763466759,0.8553345388788426,0.3661144388297191,3.66
Isaiah Jackson,College,19.44,0.2697674418604651,0.03896103896103901,0.5283018867924528,0.2941176470588236,0.787878787878788,0.25,0.5155279503105592,0.0,0.46208530805687187,0.6185185185185185,0.5739130434782606,0.32394366197183094,0.8831168831168831,0.5970149253731344,0.3064516129032258,0.3461538461538462,0.6153846153846154,5.19,0.0,0.0,Nerlens Noel,Robert Williams,Myles Turner,0.46361765902352237,0.5987622126450617,0.8264014466546111,0.4672592390969366,4.67
Josh Christopher,College,19.53,0.5441860465116278,0.12987012987012989,0.34905660377358494,0.7058823529411764,0.15151515151515155,0.3055555555555555,0.18012422360248448,0.305,0.6990521327014219,0.3407407407407408,0.3217391304347826,0.3309859154929577,0.33766233766233766,0.291044776119403,0.20967741935483872,0.07692307692307696,0.25910931174089075,4.04,0.0,0.0,OG Anunoby,De'Anthony Melton,Nickeil Alexander-Walker,0.5614727318315491,0.2459847377536194,0.8101265822784809,0.37030709961764496,3.7
Quentin Grimes,College,21.12,0.7069767441860464,0.20779220779220783,0.4433962264150944,0.6470588235294117,0.09090909090909094,0.3333333333333333,0.09937888198757772,0.403,0.6706161137440759,0.5518518518518518,0.4478260869565218,0.7183098591549295,0.4805194805194805,0.783582089552239,0.7096774193548386,0.8076923076923077,0.8704453441295548,6.7,0.0,0.0,OG Anunoby,Kyle Anderson,Bogdan Bogdanović,0.6410656905266989,0.7897225839800036,0.5226039783001808,0.5800959344650285,5.8
Nah'Shon Hyland,College,20.76,0.7860465116279068,0.22077922077922082,0.34905660377358494,0.9411764705882353,0.060606060606060615,0.6944444444444445,0.22670807453416156,0.37100000000000005,0.8459715639810426,0.5592592592592591,0.6130434782608694,0.5492957746478873,0.4545454545454546,0.5895522388059701,0.43548387096774194,0.576923076923077,0.6720647773279353,6.94,0.345357561074491,3.45,Victor Oladipo,Kawhi Leonard,Jaylen Brown,0.8482015505035468,0.6296247263412387,0.5877034358047015,0.6607197336462682,6.61
Cameron Thomas,College,19.68,0.9488372093023256,0.12987012987012989,0.22641509433962262,0.35294117647058826,0.060606060606060615,0.3055555555555555,0.09937888198757772,0.32500000000000007,0.8933649289099526,0.5740740740740741,0.4260869565217392,0.6619718309859154,0.0,0.4477611940298508,0.7580645161290321,0.07692307692307696,0.5991902834008098,5.11,0.0,0.0,Jordan Clarkson,Malik Beasley,Norman Powell,0.5678373642845265,0.480284853343609,0.7830018083182642,0.45829598230373947,4.58
Jaden Springer,College,18.73,0.4604651162790697,0.32467532467532473,0.2358490566037736,0.5294117647058824,0.12121212121212123,0.5,0.2888198757763976,0.43500000000000005,0.7227488151658769,0.4555555555555555,0.4999999999999996,0.4154929577464788,0.5324675324675324,0.4925373134328359,0.3709677419354839,0.3846153846153847,0.5870445344129556,5.67,0.090150907247811,0.9,De'Anthony Melton,Derrick Rose,Talen Horton-Tucker,0.6445255135832588,0.5098179618788966,0.9547920433996383,0.5274699581229134,5.27
Day'Ron Sharpe,College,19.62,0.32093023255813946,0.12987012987012989,0.6226415094339622,0.2941176470588236,0.27272727272727276,0.3888888888888889,0.4503105590062113,0.0,0.0,0.6259259259259259,0.2869565217391304,0.4647887323943662,0.5194805194805194,0.5373134328358209,0.2903225806451613,0.3461538461538462,0.54251012145749,3.97,0.0618258080701245,0.62,Mason Plumlee,JaVale McGee,Andre Drummond,0.30060040293290036,0.49364331147738955,0.7938517179023508,0.3743000040740753,3.74
Santi Aldama,College,20.44,0.8651162790697674,0.24675324675324678,0.8584905660377358,0.4117647058823529,0.5151515151515152,0.7222222222222223,0.43167701863354047,0.36800000000000005,0.42890995260663517,0.7407407407407407,0.6043478260869563,0.5985915492957746,0.2987012987012987,0.5522388059701493,0.4193548387096774,0.3461538461538462,0.7004048582995952,7.34,0.6376925349260553,6.38,Anthony Davis,Joel Embiid,Karl-Anthony Towns,0.9609268536492722,0.598696728297369,0.6455696202531644,0.7449384007387633,7.45
Jeremiah Robinson-Earl,College,20.62,0.6093023255813953,0.23376623376623384,0.7075471698113208,0.4117647058823529,0.18181818181818182,0.2777777777777778,0.3819875776397516,0.2800000000000001,0.49526066350710896,0.548148148148148,0.4478260869565218,0.5492957746478873,0.37662337662337664,0.5447761194029851,0.5483870967741935,0.3846153846153847,0.6234817813765183,5.65,0.1676771965587636,1.68,Al Horford,Kelly Olynyk,Tobias Harris,0.6282295144393012,0.560287009316658,0.6130198915009042,0.524724886793354,5.25
