Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG,Unnamed: 19,WS/48
Austin Reaves,23.06,College,,G,25.0,25.0,34.5,5.6,12.6,0.443,1.3,4.2,0.305,4.3,8.4,0.512,0.494,5.9,6.8,0.865,0.8,4.6,5.5,4.6,0.9,0.3,3.0,1.7,18.3,23.6,0.579,0.334,0.541,469.0,2.8,15.2,9.0,27.0,1.5,1.0,16.0,27.7,2.9,1.0,4.0,0.183,6.0,1.3,7.3,0.494,0.334,0.541,0.362,0.97,1.55,0.135,0.046,114.0,102.8,,
DJ Steward,19.71,College,,G,24.0,22.0,30.8,4.7,11.0,0.426,1.8,5.3,0.341,2.9,5.8,0.504,0.508,1.8,2.2,0.811,1.2,2.7,3.9,2.4,1.1,0.6,2.0,1.2,13.0,17.5,0.538,0.475,0.2,299.0,4.4,10.4,7.4,13.8,2.0,2.0,14.2,22.8,1.5,0.7,2.1,0.116,3.8,0.7,4.5,0.508,0.475,0.2,0.369,0.61,1.19,0.081,0.038,107.7,105.7,,
Trendon Watford,20.61,College,,F,28.0,28.0,34.6,6.1,12.6,0.48,0.6,2.0,0.316,5.4,10.6,0.512,0.506,3.5,5.4,0.651,1.7,5.7,7.4,2.9,1.1,0.6,2.6,2.5,16.3,20.2,0.536,0.161,0.429,462.0,5.4,16.7,11.3,15.6,1.8,2.0,14.8,24.6,2.2,1.1,3.3,0.136,4.2,0.9,5.1,0.506,0.161,0.429,0.322,0.63,1.11,0.091,0.045,108.3,103.7,,
Romeo Weems,20.09,College,,F,18.0,15.0,28.6,2.8,7.4,0.376,0.8,2.3,0.366,1.9,5.1,0.38,0.432,0.9,1.3,0.696,1.3,3.7,5.0,0.9,1.3,0.6,2.3,2.7,7.3,8.6,0.455,0.308,0.173,128.0,5.0,13.8,9.4,5.9,2.5,2.5,22.6,17.6,-0.3,0.8,0.5,0.035,-2.3,2.7,0.4,0.432,0.308,0.173,0.336,0.34,0.38,-0.023,0.062,82.5,100.0,,
McKinley Wright IV,22.65,College,,G,32.0,32.0,32.6,5.6,11.6,0.48,0.9,2.9,0.301,4.7,8.7,0.54,0.518,3.2,3.8,0.844,0.8,3.5,4.3,5.7,1.1,0.3,2.1,1.6,15.2,24.7,0.568,0.251,0.329,534.0,3.2,12.8,8.2,36.7,2.0,1.0,13.7,25.1,4.2,1.8,5.9,0.227,6.9,3.3,10.2,0.518,0.251,0.329,0.353,1.46,2.68,0.161,0.069,120.7,97.9,,
Jalen Green,19.36,G League,,G,15.0,15.0,32.0,6.3,13.6,0.461,2.1,5.7,0.365,4.2,7.9,0.529,0.537,1.9,2.3,0.829,0.5,3.5,4.1,2.8,1.5,0.3,2.7,1.7,17.9,15.3,0.613,0.417,0.172,,1.9,11.6,6.9,13.5,2.3,0.8,15.4,23.4,0.0,0.5,0.4,,,,,,,,,,,,,102.0,112.0,,0.044
Jonathan Kuminga,18.7,G League,,F,13.0,13.0,32.8,5.5,14.3,0.387,1.2,5.0,0.246,4.3,9.3,0.463,0.43,2.3,3.7,0.625,1.2,6.0,7.2,2.7,1.0,0.8,2.6,2.1,15.8,11.5,0.497,0.349,0.258,,4.0,19.2,11.9,12.2,1.5,2.4,14.1,24.5,-0.7,0.5,-0.3,,,,,0.43,0.349,0.258,0.329,0.51,1.03,,,90.0,110.0,,-0.03
Josh Giddey,18.69,International,,G,28.0,,32.1,4.0,9.5,0.425,1.0,3.5,0.293,,,,,1.7,2.4,0.691,,,7.4,7.4,1.1,0.5,3.3,1.5,10.8,14.78,0.506,,,,,,,,,,,19.55,,,,,,,,0.479,0.372,0.256,0.335,1.86,2.25,,,102.8,108.7,,
Alperen Şengün,18.9,International,,C,37.0,,28.2,6.8,10.7,0.632,0.2,0.9,0.2,,,,,5.2,6.6,0.794,,,8.7,2.7,1.3,1.6,2.4,3.1,19.0,30.92,0.685,,,,,,,,,,,26.7,,,,,,,,0.641,0.088,0.612,0.328,0.68,1.11,,,132.4,106.7,,
Usman Garuba,19.28,International,,F,86.0,,17.2,1.8,3.8,0.471,0.5,1.5,0.316,,,,,0.6,1.0,0.659,,,4.6,0.8,0.7,0.5,1.0,1.9,4.7,13.32,0.552,,,,,,,,,,,14.74,,,,,,,,0.535,0.407,0.251,0.329,0.52,0.82,,,109.1,104.2,,
Rokas Jokubaitis,20.58,International,,G,74.0,,20.4,2.9,6.3,0.466,0.7,1.9,0.35,,,,,1.0,1.4,0.716,,,1.7,3.4,0.6,0.0,1.4,1.6,7.5,13.36,0.542,,,,,,,,,,,20.21,,,,,,,,0.518,0.3,0.219,0.341,1.25,2.43,,,112.3,108.2,,
Juhann Bégarin,18.87,International,,G,39.0,,26.6,4.3,9.4,0.456,1.4,4.1,0.342,,,,,1.7,2.8,0.613,,,3.5,2.9,1.4,0.5,2.4,1.7,11.7,13.95,0.545,,,,,,,,,,,22.68,,,,,,,,0.53,0.432,0.303,0.338,0.81,1.23,,,103.1,102.3,,
Filip Petrušev,21.18,International,,F,32.0,,30.1,7.7,13.7,0.563,1.3,2.9,0.462,,,,,4.4,6.2,0.714,,,7.4,1.5,0.4,1.0,1.9,2.6,21.2,24.51,0.636,,,,,,,,,,,29.34,,,,,,,,0.612,0.212,0.453,0.352,0.38,0.79,,,121.7,108.2,,
Georgios Kalaitzakis,22.46,International,,F,27.0,,8.1,0.7,1.9,0.38,0.2,0.9,0.261,,,,,1.0,1.2,0.812,,,1.0,0.6,0.4,0.1,0.6,1.9,2.6,8.91,0.537,,,,,,,,,,,17.5,,,,,,,,0.44,0.46,0.64,0.347,0.64,0.94,,,102.6,105.3,,
Herbert Jones,22.7,College,,F,33.0,33.0,27.3,3.9,8.8,0.446,0.6,1.7,0.351,3.3,7.0,0.47,0.481,2.8,3.9,0.713,2.5,4.1,6.6,3.3,1.7,1.1,2.8,2.8,11.2,20.6,0.528,0.197,0.446,419.0,9.4,15.1,12.3,21.7,3.4,4.0,21.0,22.7,1.7,2.2,3.9,0.172,3.4,5.3,8.7,,,,,0.96,1.16,0.076,0.098,105.5,90.6,,
