NBA_Player,Cluster,DistToCentroid,ArchetypeName
Jordan McLaughlin,7,3.475124134232818,7
De'Anthony Melton,7,2.4915721166683023,7
Nathan Mensah,5,4.27863317493104,5
Sam Merrill,2,1.992514501105967,2
Chimezie Metu,7,2.027287296671577,7
Chimezie Metu,2,2.257790815133506,2
Chimezie Metu,7,3.386684932484928,7
Vasilije Micić,7,3.765042541996314,7
Vasilije Micić,5,2.907702213601867,5
Vasilije Micić,6,3.6637832120494522,6
Khris Middleton,6,1.1395306518338506,6
Brandon Miller,7,2.483988963105305,7
Jordan Miller,2,3.5599956106437483,2
Leonard Miller,3,5.257045858199005,3
Patty Mills,5,2.7235604448263513,5
Patty Mills,2,2.054515642674935,2
Patty Mills,5,3.0522297884846115,5
Shake Milton,5,1.8645600074739817,5
Shake Milton,5,1.8161585050263716,5
Shake Milton,7,2.273638703723072,7
Shake Milton,2,3.5598204013420256,2
Justin Minaya,5,1.819874475427501,5
Josh Minott,2,4.029512533429317,2
Davion Mitchell,2,1.6597239392777008,2
Donovan Mitchell,6,3.054312251289713,6
Evan Mobley,1,1.8062895591453199,1
Isaiah Mobley,5,4.765464009926838,5
Malik Monk,6,1.8715360033602482,6
Moses Moody,7,1.5308043115542567,7
Xavier Moon,5,2.336544607963964,5
Taze Moore,5,2.7772188983183166,5
Wendell Moore Jr.,5,3.8646158270137976,5
Ja Morant,6,3.056260952159376,6
Markieff Morris,5,1.8540182827040534,5
Marcus Morris,2,1.129984163483615,2
Marcus Morris,2,1.2054468074014335,2
Marcus Morris,2,2.148797103198138,2
Monte Morris,7,2.4616948054079533,7
Monte Morris,5,2.4187822792156117,5
Monte Morris,7,2.645929591321397,7
Trey Murphy III,7,2.303290668034427,7
Dejounte Murray,6,1.524840485338775,6
Jamal Murray,6,1.6673621115836774,6
Keegan Murray,7,2.2647523713309847,7
Kris Murray,7,2.116842375615266,7
Mike Muscala,5,1.6939156403119024,5
Mike Muscala,5,1.8983982747140302,5
Mike Muscala,2,2.8152941301419787,2
Mike Muscala,5,4.915416743784891,5
Svi Mykhailiuk,2,1.2360025469033715,2
Larry Nance Jr.,7,2.855573460594287,7
Pete Nance,5,8.59193353723045,5
Andrew Nembhard,7,2.2565830754114726,7
Aaron Nesmith,7,1.9021397731349043,7
Georges Niang,2,1.4712200255971208,2
Daishen Nix,5,4.433834153635467,5
Zeke Nnaji,3,2.36345820125443,3
Jaylen Nowell,5,1.956944750830106,5
Jaylen Nowell,5,2.776293950270073,5
Jaylen Nowell,2,2.1920286258001385,2
Markquis Nowell,8,6.916290345280825,8
Frank Ntilikina,4,4.40874839807898,4
Jusuf Nurkić,1,3.520109237475781,1
Jordan Nwora,7,1.9002106091155766,7
Jordan Nwora,2,1.9542844770371275,2
Jordan Nwora,7,1.7228860882966968,7
Chuma Okeke,5,1.8574587008969685,5
Josh Okogie,7,1.7349024052134248,7
Onyeka Okongwu,1,2.013344410958368,1
Isaac Okoro,7,1.5353167105019945,7
Kelly Olynyk,6,2.984507816185737,6
Kelly Olynyk,6,3.6673584311880005,6
Kelly Olynyk,6,2.595843778506582,6
Eugene Omoruyi,7,2.5725993205360154,7
Royce O'Neale,7,1.4398236413887333,7
Royce O'Neale,7,1.4684799699765605,7
Royce O'Neale,7,1.6411483625965253,7
Cedi Osman,2,1.3652493017817509,2
Kelly Oubre Jr.,7,2.2685417298645203,7
Chris Paul,6,3.2998770841166056,6
Cameron Payne,7,2.1391383838091547,7
Cameron Payne,2,1.9457828604531584,2
Cameron Payne,7,2.214537521622247,7
Gary Payton II,7,2.589979050399599,7
Mãozinha Pereira,3,2.6306960272544844,3
Drew Peterson,2,6.510830599796824,2
Filip Petrušev,2,3.9229310943744795,2
Filip Petrušev,2,3.9555811882398935,2
Filip Petrušev,2,4.423807871271962,2
Julian Phillips,2,1.974689223746476,2
Jalen Pickett,2,2.528104118360661,2
Scotty Pippen Jr.,6,3.243041459623378,6
Mason Plumlee,3,2.408226748153642,3
Brandin Podziemski,7,2.0318751476757706,7
Jakob Poeltl,1,1.8232009546423584,1
Aleksej Pokusevski,7,1.8267367324495076,7
Aleksej Pokusevski,5,2.4811530813571454,5
Aleksej Pokusevski,7,1.5142200570658793,7
Jordan Poole,6,2.788015055889372,6
Craig Porter Jr.,7,2.258470773317884,7
Jontay Porter,7,2.8739617004224445,7
Michael Porter Jr.,7,3.092703704995325,7
Otto Porter Jr.,2,2.2336976324025795,2
Bobby Portis,7,2.949112453560846,7
Kristaps Porziņģis,1,3.121628349659329,1
Micah Potter,2,1.9546665730477797,2
Dwight Powell,3,2.5473635634713907,3
Norman Powell,2,2.3311833959171575,2
Jason Preston,5,3.4542433165683093,5
Joshua Primo,4,8.088122240023141,4
Taurean Prince,7,1.6067926239470978,7
Payton Pritchard,7,2.301265167538999,7
Olivier-Maxence Prosper,2,2.079311304616755,2
Trevelin Queen,5,2.017879703435327,5
Neemias Queta,3,2.4780861159720713,3
Immanuel Quickley,6,2.0404098782224143,6
Immanuel Quickley,7,2.76826248929431,7
Immanuel Quickley,6,1.7074234972167284,6
Lester Quiñones,2,1.4583357916056936,2
Jahmi'us Ramsey,7,2.385017835289638,7
Julius Randle,6,3.2868201501267515,6
Duop Reath,7,1.9092702497444607,7
Austin Reaves,6,1.5173001708887583,6
Cam Reddish,7,2.3704139227221175,7
Paul Reed,1,1.8321088763629527,1
Naz Reid,1,2.483222626015585,1
Jared Rhoden,3,2.686340332478865,3
Josh Richardson,7,1.696878663547414,7
Nick Richards,1,3.505907622093904,1
Duncan Robinson,7,1.919053955985835,7
Jerome Robinson,5,2.799874819092866,5
Jeremiah Robinson-Earl,2,1.3071024462325302,2
Mitchell Robinson,1,3.360892735508222,1
Orlando Robinson,2,2.754819064023007,2
David Roddy,5,1.760697829142099,5
David Roddy,5,2.236512574348178,5
David Roddy,5,2.8644594490927293,5
Ryan Rollins,7,5.950897627682529,7
Ryan Rollins,7,5.375639981760415,7
Ryan Rollins,7,9.869420040575356,7
Derrick Rose,7,3.378742538841519,7
Terry Rozier,6,1.399112381229862,6
Terry Rozier,6,1.6702699442488047,6
Terry Rozier,6,2.1285260635088115,6
Rayan Rupert,5,1.7116090761300768,5
D'Angelo Russell,6,1.4919936507121796,6
Matt Ryan,2,1.8821727759293516,2
Domantas Sabonis,6,5.60217587476769,6
Luka Šamanić,5,2.51828368485008,5
Jermaine Samuels,3,4.382596506991321,3
Adama Sanogo,3,5.596145324658222,3
Gui Santos,2,2.0704954121729724,2
Dario Šarić,7,2.006636240970301,7
Olivier Sarr,3,2.6876547603486527,3
Marcus Sasser,7,2.3844308930136315,7
Admiral Schofield,5,5.011612364641211,5
Dennis Schröder,6,2.3851695400513426,6
Dennis Schröder,6,2.5674049801623835,6
Dennis Schröder,6,2.4095455168920745,6
Dereon Seabron,2,3.3182866677052085,2
Alperen Şengün,6,2.9658934410336846,6
Brice Sensabaugh,7,2.902862330132365,7
Collin Sexton,6,1.9662597705855012,6
Landry Shamet,2,1.5308940076178918,2
Day'Ron Sharpe,3,2.4101103691062296,3
Shaedon Sharpe,7,2.6845493254109356,7
Ben Sheppard,2,1.8311842131308298,2
Pascal Siakam,6,2.096849137552858,6
Pascal Siakam,6,1.5092066129081358,6
Pascal Siakam,6,2.8993340057831607,6
Ben Simmons,1,5.231910159736441,1
Kobi Simmons,7,3.812367282604259,7
Anfernee Simons,6,2.627905667864734,6
Zavier Simpson,5,3.24613708451617,5
Jericho Sims,3,2.7281162089754143,3
