Name,Age,classification,Season,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,True Shooting %TS%,EFG%,3PAR,FTAR,NBA 3P%,AST/USG,AST/TO,OWS/40,DWS/40,ORTG,DRTG,Unnamed: 19,WS/48
Allen Flanigan,23.16,College,,G,32.0,29.0,30.7,5.0,11.5,0.434,0.5,1.7,0.273,4.5,9.8,0.462,0.454,4.3,5.3,0.817,1.2,4.8,6.1,2.8,1.5,0.7,2.3,2.5,14.8,19.6,0.526,0.149,0.458,468.0,4.6,17.4,11.2,18.4,2.8,2.5,13.8,26.8,1.8,1.2,2.9,0.12,1.9,1.4,3.3,0.526,0.454,0.149,0.458,0.34,0.69,1.24,0.073,0.049,107.5,106.3,,
PJ Hall,22.33,College,,F,36.0,36.0,28.9,6.7,13.7,0.488,1.4,4.6,0.315,5.2,9.1,0.575,0.541,3.5,4.5,0.779,1.6,4.8,6.4,1.4,0.8,1.4,1.9,3.1,18.3,25.6,0.579,0.335,0.331,595.0,6.6,18.1,12.7,10.8,1.6,5.6,10.5,31.8,3.1,1.7,4.8,0.184,5.7,2.7,8.4,0.579,0.541,0.335,0.331,0.359,0.34,0.76,0.119,0.065,114.3,102.0,,
Keshad Johnson,22.99,College,,F,36.0,36.0,27.6,4.2,7.9,0.53,1.0,2.6,0.387,3.2,5.3,0.599,0.593,2.1,3.0,0.71,2.0,3.9,5.9,1.8,1.0,0.7,1.6,2.1,11.5,19.3,0.616,0.326,0.375,401.0,8.0,14.8,11.5,10.8,2.0,2.7,14.3,18.4,2.5,2.0,4.5,0.18,4.5,3.8,8.3,0.616,0.593,0.326,0.375,0.343,0.59,1.18,0.101,0.081,122.6,98.1,,
Isaac Jones,23.94,College,,F,35.0,34.0,31.7,5.7,9.9,0.575,0.0,0.4,0.071,5.7,9.5,0.596,0.577,3.9,5.5,0.712,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2.0,15.3,23.7,0.613,0.04,0.552,513.0,8.5,19.0,13.9,9.9,1.0,3.4,13.3,23.4,3.4,2.0,5.4,0.194,5.0,2.6,7.6,0.613,0.577,0.04,0.552,0.319,0.42,0.81,0.122,0.072,121.3,100.3,,
Judah Mintz,20.95,College,,G,32.0,31.0,33.9,5.9,13.4,0.438,0.8,2.7,0.282,5.1,10.8,0.477,0.466,6.3,8.3,0.765,0.5,2.8,3.2,4.4,2.1,0.1,2.9,2.2,18.8,20.5,0.543,0.198,0.615,612.0,1.6,9.1,5.4,25.4,3.4,0.4,14.5,29.7,2.2,1.3,3.5,0.13,2.7,1.5,4.2,0.543,0.466,0.198,0.615,0.338,0.86,1.51,0.081,0.048,108.0,106.9,,
Zyon Pullin,23.3,College,,G,33.0,27.0,33.5,4.8,10.8,0.444,1.1,2.4,0.449,3.7,8.4,0.442,0.493,4.9,5.8,0.847,0.7,3.2,3.9,4.9,0.9,0.1,1.3,2.0,15.5,20.2,0.574,0.219,0.534,530.0,2.2,10.1,6.1,24.7,1.5,0.3,8.8,20.2,4.0,0.8,4.8,0.173,5.1,1.3,6.4,0.574,0.493,0.219,0.534,0.362,1.22,3.77,0.145,0.029,131.5,111.9,,
Ron Holland,18.95,G League,,F,14.0,14.0,33.6,6.9,15.6,0.445,0.9,3.6,0.24,6.1,12.0,0.506,0.472,3.8,5.0,0.757,1.5,5.1,6.6,3.0,2.5,0.6,2.9,3.3,20.6,17.1,0.579,0.229,0.321,,4.9,17.6,11.0,15.6,3.8,1.7,13.9,27.7,-0.6,0.4,-0.2,,,,,0.56,0.486,0.213,0.253,0.334,0.58,0.9,,,95.8,114.8,,-0.018
Matas Buzelis,19.68,G League,,F,26.0,26.0,32.0,5.4,12.1,0.448,0.9,3.4,0.273,4.5,8.7,0.515,0.486,1.5,2.2,0.679,1.9,5.0,6.9,2.0,0.8,2.1,2.2,2.6,14.3,13.7,0.549,0.279,0.178,,6.4,18.4,12.2,10.1,1.3,5.8,14.6,21.7,-1.0,0.4,-0.6,,,,,0.553,0.492,0.288,0.172,0.332,0.48,0.89,,,97.3,117.4,,-0.035
Tyler Smith,19.63,G League,,F,27.0,2.0,22.0,4.7,9.9,0.481,1.4,4.0,0.364,3.3,5.9,0.56,0.555,1.4,1.9,0.725,1.6,3.5,5.1,1.1,0.7,1.0,1.2,2.6,13.4,19.0,0.629,0.402,0.192,,7.7,18.6,13.0,9.0,1.6,4.0,10.0,24.4,0.2,0.3,0.5,,,,,0.612,0.545,0.363,0.185,0.36,0.43,1.06,,,109.4,118.2,,0.043
Zaccharie Risacher,19.2,International,,F,65.0,,23.3,3.9,8.3,0.47,1.4,3.7,0.387,,,,,1.9,2.7,0.707,,,4.0,0.9,0.9,0.4,1.6,2.4,11.1,15.19,,,,,,,,,,,,22.4,,,,,,,,0.581,0.556,0.442,0.323,0.357,0.31,0.57,,,108.5,104.0,,
